,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude,origin_descripcion,origin_temperatura,origin_minima,origin_maxima,origin_sensacion_termica,origin_nubes,destination_descripcion,destination_temperatura,destination_minima,destination_maxima,destination_sensacion_termica,destination_nubes
39,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
40,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
41,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
42,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
43,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
44,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
45,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
46,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
47,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
48,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
49,MTY,MEX,25.7785,-100.107,19.4363,-99.0721,cielo claro,28.77,27.48,29.0,27.38,0,nubes,20.85,20.57,22.32,20.04,100
50,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
51,MEX,MTY,19.4363,-99.0721,25.7785,-100.107,nubes,20.85,20.57,22.32,20.04,100,cielo claro,28.77,27.48,29.0,27.38,0
52,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
53,MEX,TAM,19.4363,-99.0721,22.2964,-97.8659,nubes,20.85,20.57,22.32,20.04,100,cielo claro,21.0,19.36,21.0,21.19,0
